Название товара,1срок,2срок,1цена,2цена
Автокресло Siger Стар Isofix,WeekRentPrice,MonthRentPrice,1500,1900
Автокресло Britax Romer KING II,WeekRentPrice,MonthRentPrice,1800,2700
Автокресло Chicco Xpace Isofix,WeekRentPrice,MonthRentPrice,1800,2700
Автокресло Sparco F700K,WeekRentPrice,MonthRentPrice,1000,1800
Автокресло Maxi-Cosi CabrioFix,WeekRentPrice,MonthRentPrice,1200,1800
Автолюлька Concord Air.Safe,WeekRentPrice,MonthRentPrice,1000,1900
Прогулочная коляска Safety1st CompaCity,WeekRentPrice,MonthRentPrice,1400,2000
Прогулочная коляска Inglesina Quid,WeekRentPrice,MonthRentPrice,2000,3200
Коляска-трость Maclaren Quest,WeekRentPrice,MonthRentPrice,2800,4300
Прогулочная коляска Snap4 Valco Baby,WeekRentPrice,MonthRentPrice,2500,3600
Коляска прогулочная UPPAbaby VISTA 2018,WeekRentPrice,MonthRentPrice,4800,0
Подвес «Собачка Джеф» спиральный,WeekRentPrice,MonthRentPrice,300,500
Коляска-трость Maclaren Triumph,WeekRentPrice,MonthRentPrice,2100,3600
Коляска прогулочная Pliko Mini,WeekRentPrice,MonthRentPrice,1400,2000
Прогулочная коляска Chicco TrolleyMe 3,WeekRentPrice,MonthRentPrice,2500,3600
Коляска-трансформер 2-в-1 Chicco Urban Plus,WeekRentPrice,MonthRentPrice,1800,3200
Прогулочная коляска Happy Baby Cindy,WeekRentPrice,MonthRentPrice,1400,2000
Коляска для двойни Maclaren Twin Triumph,WeekRentPrice,MonthRentPrice,3000,4500
Коляска прогулочная UPPAbaby Cruz 2018,WeekRentPrice,MonthRentPrice,4200,0
Прогулочная коляска Chicco Minimo 3,WeekRentPrice,MonthRentPrice,2800,4000
Коляска прогулочная Chicco SimpliCity Plus Top,WeekRentPrice,MonthRentPrice,1600,2400
Прогулочная коляска Babyton Ultra,WeekRentPrice,MonthRentPrice,1200,1900
Прогулочная коляска FD-Design Ping Diamond SE,WeekRentPrice,MonthRentPrice,2800,4300
Прогулочная коляска YoYa Skillmax,WeekRentPrice,MonthRentPrice,2000,3200
Прогулочная коляска Chicco Multiway Red,WeekRentPrice,MonthRentPrice,1500,2100
Коляска прогулочная UPPAbaby MINU 2018,WeekRentPrice,MonthRentPrice,3100,0
Прогулочная коляска Happy Baby Colibri,WeekRentPrice,MonthRentPrice,1200,1900
Подвес «Гусеница Джульетта» на коляску,WeekRentPrice,MonthRentPrice,300,500
Прогулочная коляска Mytrax Joie 2-в-1,WeekRentPrice,MonthRentPrice,1800,3200
Прогулочная коляска YoYa Plus,WeekRentPrice,MonthRentPrice,1800,2500
Коляска 2-в-1 Chicco Best Friend Crossover синяя,WeekRentPrice,MonthRentPrice,2800,4000
Руль для коляски игровой ELC,WeekRentPrice,MonthRentPrice,400,700
Коляска-трость Chicco Lite Way Top,WeekRentPrice,MonthRentPrice,1400,2000
Прогулочная коляска YoYa Plus Pro,WeekRentPrice,MonthRentPrice,2000,3200
Лёгкая прогулочная коляска Chicco Ohlala,WeekRentPrice,MonthRentPrice,1400,2000
Прогулочная коляска Chicco Ohlala 2 зелёная,WeekRentPrice,MonthRentPrice,2500,3600
Прогулочная коляска Babalo,WeekRentPrice,MonthRentPrice,2000,3200
Чемодан-каталка Trunki Пчёлка,WeekRentPrice,MonthRentPrice,900,1300
Чемодан-каталка Trunki Тигр,WeekRentPrice,MonthRentPrice,900,1300
Рюкзак для бассейна и пляжа Лобстер,WeekRentPrice,MonthRentPrice,500,900
Чемодан-каталка Trunki Транкозавр,WeekRentPrice,MonthRentPrice,900,1300
Рюкзак для бассейна и пляжа Рыба-пузырь,WeekRentPrice,MonthRentPrice,500,900
Слинг-рюкзак manduca Bellybutton,WeekRentPrice,MonthRentPrice,1600,2600
Слинг-рюкзак manduca First,WeekRentPrice,MonthRentPrice,1500,2500
Рюкзак Babybjorn Original,WeekRentPrice,MonthRentPrice,800,1300
Рюкзак-переноска Todbi Hidden 360,WeekRentPrice,MonthRentPrice,1900,3100
Сумка-кенгуру Chicco Go Moon,WeekRentPrice,MonthRentPrice,500,900
Рюкзак BabyBjorn One Air,WeekRentPrice,MonthRentPrice,1900,3100
Сумка-кенгуру Chicco Soft & Dream,WeekRentPrice,MonthRentPrice,800,1300
Радионяня Motorola MBP16,WeekRentPrice,MonthRentPrice,700,1000
Видеоняня Motorola MBP36,WeekRentPrice,MonthRentPrice,1300,1800
Видеоняня Maman VB 603,WeekRentPrice,MonthRentPrice,1400,1900
Радионяня Maman RD-2810,WeekRentPrice,MonthRentPrice,700,1000
Радионяня Philips Avent SCD 501,WeekRentPrice,MonthRentPrice,800,1200
Видеоняня Motorola MBP33,WeekRentPrice,MonthRentPrice,1300,1800
Радионяня Motorola MBP161Timer,WeekRentPrice,MonthRentPrice,700,1000
Видеоняня Philips Avent SCD 603,WeekRentPrice,MonthRentPrice,1400,2000
Видеоняня Motorola MBP28,WeekRentPrice,MonthRentPrice,1300,1800
Видеоняня Maman BM3200,WeekRentPrice,MonthRentPrice,1000,1600
Переносная люлька «Кокон»,WeekRentPrice,MonthRentPrice,300,400
Манеж-кровать Hauck Dream’n’Play,WeekRentPrice,MonthRentPrice,1000,1500
Люлька-баунсер 3-в-1,WeekRentPrice,MonthRentPrice,800,1300
Кроватка Chicco Next2Me,WeekRentPrice,MonthRentPrice,1800,2600
Манеж-кровать Capella Best Friends,WeekRentPrice,MonthRentPrice,1000,1500
Кроватка-манеж Chicco Zip&Go,WeekRentPrice,MonthRentPrice,1800,2600
Манеж Safety 1st Dreams,WeekRentPrice,MonthRentPrice,1300,1800
Манеж-кровать Hauck Dream’n’Play Go Plus,WeekRentPrice,MonthRentPrice,1000,1500
Складная кроватка Snuggle Nest Surround ХL,WeekRentPrice,MonthRentPrice,1000,1800
Матрас-кокон Dolce Bambino Cocon,WeekRentPrice,MonthRentPrice,1300,2100
Матрас для манежа,WeekRentPrice,MonthRentPrice,300,700
Манеж игровой Babyton,WeekRentPrice,MonthRentPrice,1000,1800
Манеж-кровать Hauck Sleep’n Play Center,WeekRentPrice,MonthRentPrice,1300,1800
Манеж Chicco Open,WeekRentPrice,MonthRentPrice,1500,2300
Складная кроватка-люлька Chicco Lullago,WeekRentPrice,MonthRentPrice,1800,2600
Портативная ванна для малышей,WeekRentPrice,MonthRentPrice,300,500
Складная ванночка Stokke FlexiBath,WeekRentPrice,MonthRentPrice,500,800
Стульчик для купания Smoby,WeekRentPrice,MonthRentPrice,500,900
Барабаны-бонго для купания,WeekRentPrice,MonthRentPrice,400,800
Аквариум-сортер,WeekRentPrice,MonthRentPrice,300,400
Игрушка для купания «Крокодил на лодке»,WeekRentPrice,MonthRentPrice,300,500
Развивающая игрушка «Плавающая черепаха»,WeekRentPrice,MonthRentPrice,300,500
Игрушка для ванны «Спасательный катер»,WeekRentPrice,MonthRentPrice,400,800
Музыкальный бегемотик на катамаране,WeekRentPrice,MonthRentPrice,400,800
Игрушка для создания мыльных пузырей «Лягушка»,WeekRentPrice,MonthRentPrice,400,800
Развивающая игрушка «Осьминог»,WeekRentPrice,MonthRentPrice,500,900
Игрушка для купания «Остров пузырьков»,WeekRentPrice,MonthRentPrice,400,800
Игрушка для ванны «Подводная лодка»,WeekRentPrice,MonthRentPrice,400,800
Кораблик с игрушками для ванны Battat,WeekRentPrice,MonthRentPrice,400,800
Сортер Sorting Vehicles Транспортные средства,WeekRentPrice,MonthRentPrice,500,0
Набор развивающий Beehive Lacing шнуровка Улей,WeekRentPrice,MonthRentPrice,400,0
Кубики со звуком,WeekRentPrice,MonthRentPrice,300,500
"Конструктор Trix-Track ""Трек для малышей с мельницей""",WeekRentPrice,MonthRentPrice,900,1400
"Конструктор Trix-Track ""Башня""",WeekRentPrice,MonthRentPrice,900,1400
Конструктор магнитный для малышей Links 16 дет.,WeekRentPrice,MonthRentPrice,900,0
Сортер пирамидка Sorting Tree дерево,WeekRentPrice,MonthRentPrice,400,700
Сортер Радужные блоки набор 10 дет.,WeekRentPrice,MonthRentPrice,0,0
"Конструктор Trix-Track ""Двойная дорожка""",WeekRentPrice,MonthRentPrice,700,900
Конструктор IO Blocks ® 59 деталей,WeekRentPrice,MonthRentPrice,500,0
Игровой стол с конструктором «Строй и учись»,WeekRentPrice,MonthRentPrice,800,1400
Набор развивающий шнуровка Посчитай фрукты,WeekRentPrice,MonthRentPrice,700,0
Ведерко Maxi Bloks,WeekRentPrice,MonthRentPrice,500,900
Сортер 3D Feel & Find Почувствуй и найди,WeekRentPrice,MonthRentPrice,800,0
Конструктор магнитный для малышей Grippies 20 дет.,WeekRentPrice,MonthRentPrice,900,0
Сортер 3D Feel & Find Интернациональные символы,WeekRentPrice,MonthRentPrice,500,0
Конструктор магнитный PowerClix® Solids 24 дет.,WeekRentPrice,MonthRentPrice,900,0
Конструктор магнитный для малышей  Curves 30 дет.,WeekRentPrice,MonthRentPrice,1300,0
Игровой столик с конструктором B Kids,WeekRentPrice,MonthRentPrice,700,900
Сортер-пирамидка Радужные блоки,WeekRentPrice,MonthRentPrice,800,0
Конструктор MegaBloks 80 деталей,WeekRentPrice,MonthRentPrice,400,800
"Набор-конструктор ""Обед с собой"" Mega Blocks",WeekRentPrice,MonthRentPrice,500,900
Конструктор магнитный для малышей Reflections 29 дет.,WeekRentPrice,MonthRentPrice,1200,0
Сортер по весу Weight Cylinders,WeekRentPrice,MonthRentPrice,900,0
Конструктор магнитный для малышей Stackers 16 дет.,WeekRentPrice,MonthRentPrice,900,0
Сортер пирамидка сенсорные блоки,WeekRentPrice,MonthRentPrice,500,0
Развивающий коврик «Симфония космоса»,WeekRentPrice,MonthRentPrice,700,1000
Развивающий коврик «Городское сафари»,WeekRentPrice,MonthRentPrice,900,1600
Коврик-сумка «Карапуз» без дуг,WeekRentPrice,MonthRentPrice,400,800
Гимнастический комплекс Chicco,WeekRentPrice,MonthRentPrice,800,1300
Развивающий коврик «Пианино»,WeekRentPrice,MonthRentPrice,700,1000
Развивающий коврик «Симфония в пруду»,WeekRentPrice,MonthRentPrice,700,1000
Складной коврик 3-в-1 «Автомобиль»,WeekRentPrice,MonthRentPrice,700,1000
Развивающий коврик «Мыльные пузыри»,WeekRentPrice,MonthRentPrice,700,1000
Развивающий коврик «Мой слоненок»,WeekRentPrice,MonthRentPrice,900,1500
Развивающий коврик «Розовый автомобильчик»,WeekRentPrice,MonthRentPrice,300,700
Развивающий коврик «Африка»,WeekRentPrice,MonthRentPrice,800,1400
Развивающий коврик Felice «Волшебный дуб»,WeekRentPrice,MonthRentPrice,900,1500
Развивающий коврик «Первая игровая площадка»,WeekRentPrice,MonthRentPrice,900,1400
Развивающий коврик «Страна роботов»,WeekRentPrice,MonthRentPrice,700,1000
Развивающий коврик «Мой львенок»,WeekRentPrice,MonthRentPrice,800,1200
Развивающий коврик 5-в-1 «Мечты об Африке»,WeekRentPrice,MonthRentPrice,900,1400
Руль «Тебе водить!»,WeekRentPrice,MonthRentPrice,400,800
Серпантинный спуск ELC,WeekRentPrice,MonthRentPrice,400,700
Музыкальный сортер «Микроавтобус»,WeekRentPrice,MonthRentPrice,400,800
Пиратский корабль Kiddieland,WeekRentPrice,MonthRentPrice,500,900
Развивающая игрушка «Музыкальный поезд»,WeekRentPrice,MonthRentPrice,500,900
Сортер «Веселая ферма»,WeekRentPrice,MonthRentPrice,400,800
Грузовик «King»,WeekRentPrice,MonthRentPrice,300,500
Пиратский корабль ELC,WeekRentPrice,MonthRentPrice,800,1300
Развивающая игрушка «Юный механик»,WeekRentPrice,MonthRentPrice,400,700
Пожарная машина MIGHTY,WeekRentPrice,MonthRentPrice,300,500
Веселый паровозик с мячиками,WeekRentPrice,MonthRentPrice,400,800
"Минитрек с машинками, Fisher Price",WeekRentPrice,MonthRentPrice,500,900
Гоночный трек ELC,WeekRentPrice,MonthRentPrice,800,1400
Гараж 3х уровневый Viking City,WeekRentPrice,MonthRentPrice,700,900
Деревянный гараж ELC,WeekRentPrice,MonthRentPrice,700,1200
Самолёт Jumbo New,WeekRentPrice,MonthRentPrice,300,500
Цементовоз JUMBO FUN,WeekRentPrice,MonthRentPrice,300,500
"Гоночный серпантин с машинками, Fisher Price",WeekRentPrice,MonthRentPrice,900,1300
Гараж с машинками ELC,WeekRentPrice,MonthRentPrice,700,1000
Развивающая игрушка «Маленький водитель»,WeekRentPrice,MonthRentPrice,500,700
Машинки-животные,WeekRentPrice,MonthRentPrice,500,800
Пожарная машина SUPER JUMBO,WeekRentPrice,MonthRentPrice,400,700
"Игровой набор ""Станция служб спасения"" ELC",WeekRentPrice,MonthRentPrice,400,700
Машинка «Билли - большие колеса»,WeekRentPrice,MonthRentPrice,400,800
Паровозик ученого щенка Fisher Price,WeekRentPrice,MonthRentPrice,500,900
Развивающая игрушка «Автотрек» Vtech,WeekRentPrice,MonthRentPrice,500,900
Игрушка Vtech Водитель Рули и учись,WeekRentPrice,MonthRentPrice,400,700
Сортер «Веселый автомобиль»,WeekRentPrice,MonthRentPrice,400,800
Ракета ELC,WeekRentPrice,MonthRentPrice,500,900
Паровозик со слоненком,WeekRentPrice,MonthRentPrice,400,800
Многофункциональная ракета,WeekRentPrice,MonthRentPrice,500,1000
Автовоз Oball,WeekRentPrice,MonthRentPrice,500,900
Большой автовоз с машинками Little Tikes,WeekRentPrice,MonthRentPrice,800,1300
Корабль «Веселый Роджер и Капитан Крюк»,WeekRentPrice,MonthRentPrice,400,800
Весёлая горка для Yo-Yo Fisher Price,WeekRentPrice,MonthRentPrice,900,1300
Автомобильная горка «Чудеса на виражах»,WeekRentPrice,MonthRentPrice,700,900
Качели электронные «Комфорт и гармония»,WeekRentPrice,MonthRentPrice,1300,2000
Вкладыш для новорожденных MamaRoo,WeekRentPrice,MonthRentPrice,300,500
Электрокачели RockaRoo,WeekRentPrice,MonthRentPrice,1000,1800
Электронные качели MamaRoo 3.0,WeekRentPrice,MonthRentPrice,1800,2800
Электронные качели «Милый щенок» Fisher Price,WeekRentPrice,MonthRentPrice,1600,2300
Электрокачели «Звёздное небо» Fisher Price,WeekRentPrice,MonthRentPrice,1600,2300
Электрокачели «Друзья из тропического леса»,WeekRentPrice,MonthRentPrice,1400,2100
Электронные качели MamaRoo 4.0,WeekRentPrice,MonthRentPrice,2000,3200
Качели-колыбель «Умные и бесшумные»,WeekRentPrice,MonthRentPrice,1600,2300
Электрокачели «Солнечные джунгли» Bright Starts,WeekRentPrice,MonthRentPrice,1300,2000
Сухой бассейн с шариками «Индейцы»,WeekRentPrice,MonthRentPrice,700,900
Сухой бассейн с шариками «Веселая полянка»,WeekRentPrice,MonthRentPrice,700,900
Сухой бассейн с шариками «Зверята»,WeekRentPrice,MonthRentPrice,700,900
Сухой бассейн с шариками «Подводный мир»,WeekRentPrice,MonthRentPrice,700,900
Сухой бассейн с шариками «Летняя сказка»,WeekRentPrice,MonthRentPrice,700,900
Сухой бассейн с шариками «Терра»,WeekRentPrice,MonthRentPrice,700,900
Весы Maman SBBC 216,WeekRentPrice,MonthRentPrice,700,900
Весы Maman SBBC217,WeekRentPrice,MonthRentPrice,700,900
Весы LAICA PS 3003,WeekRentPrice,MonthRentPrice,700,900
Весы Maman SBBC 215,WeekRentPrice,MonthRentPrice,700,900
Весы LAICA PS 3001,WeekRentPrice,MonthRentPrice,700,900
Весы LAICA MD 6141,WeekRentPrice,MonthRentPrice,700,900
Весы Maman SBBC 212,WeekRentPrice,MonthRentPrice,700,900
Шезлонг «В поисках Немо»,WeekRentPrice,MonthRentPrice,800,1300
Переносной Баунсер,WeekRentPrice,MonthRentPrice,500,900
"Шезлонг Fisher Price ""Расти и познавай""",WeekRentPrice,MonthRentPrice,800,1300
Игрушка к шезлонгу BabyBjorn «Летающие друзья»,WeekRentPrice,MonthRentPrice,400,800
Шезлонг «Подводный мир»,WeekRentPrice,MonthRentPrice,800,1300
Люлька-баунсер 3-в-1,WeekRentPrice,MonthRentPrice,800,1300
Шезлонг «Солнечное сафари»,WeekRentPrice,MonthRentPrice,800,1300
Кресло-шезлонг BabyBjorn Balance Soft Air,WeekRentPrice,MonthRentPrice,1800,2700
Матрас-кокон Dolce Bambino Cocon,WeekRentPrice,MonthRentPrice,1300,2100
Шезлонг BounceRoo,WeekRentPrice,MonthRentPrice,900,1500
Шезлонг Jetem Relax,WeekRentPrice,MonthRentPrice,900,1400
Кресло-шезлонг BabyBjorn Bliss Cotton,WeekRentPrice,MonthRentPrice,1800,2700
Переносная люлька «Кокон»,WeekRentPrice,MonthRentPrice,300,400
Шезлонг «Любимый зоопарк» Fisher Price,WeekRentPrice,MonthRentPrice,800,1300
Кресло-качалка «Друзья из тропического леса»,WeekRentPrice,MonthRentPrice,700,1000
"Шезлонг-качалка Mia Bouncer, Chicco",WeekRentPrice,MonthRentPrice,900,1400
Детский манеж Natural,WeekRentPrice,MonthRentPrice,2400,3600
Большой детский манеж Shell,WeekRentPrice,MonthRentPrice,1900,3100
Детский манеж Deluxe Learning,WeekRentPrice,MonthRentPrice,1900,3100
Груша боксерская к ДСК «Ранний старт»,WeekRentPrice,MonthRentPrice,100,200
"Игровой чехол ""Театр"" для ДСК СТАНДАРТ и ЛЮКС",WeekRentPrice,MonthRentPrice,400,800
Сетка трапециевидная к ДСК «Ранний старт»,WeekRentPrice,MonthRentPrice,200,400
Веревочная лестница к ДСК «Ранний старт»,WeekRentPrice,MonthRentPrice,100,200
Кольца деревянные гимнастические KIDWOOD,WeekRentPrice,MonthRentPrice,200,400
ДСК Ранний старт СТАНДАРТ (полная комплектация),WeekRentPrice,MonthRentPrice,1500,2500
ДСК «Ранний старт» люкс полная комплектация,WeekRentPrice,MonthRentPrice,1600,2900
Качели деревянные к ДСК «Ранний старт»,WeekRentPrice,MonthRentPrice,200,400
Деревянный игровой комплекс Берёзка,WeekRentPrice,MonthRentPrice,1500,2500
Массажная роликовая доска к ДСК «Ранний старт»,WeekRentPrice,MonthRentPrice,400,900
Скалодром деревянный к ДСК «Ранний старт»,WeekRentPrice,MonthRentPrice,400,900
Гимнастическая трапеция к ДСК «Ранний старт»,WeekRentPrice,MonthRentPrice,100,200
